Gene stable ID	Gene name	Human gene stable ID	Human gene name
ENSMUSG00000090066	1110002E22Rik	ENSG00000248713	C4orf54
ENSMUSG00000063236	1110038F14Rik	ENSG00000182307	C8orf33
ENSMUSG00000087651	1500009L16Rik	ENSG00000235162	C12orf75
ENSMUSG00000054676	1600014C10Rik	ENSG00000131943	C19orf12
ENSMUSG00000029766	1700012A03Rik		
ENSMUSG00000028451	1700022I11Rik	ENSG00000174038	C9orf131
ENSMUSG00000032666	1700025G04Rik	ENSG00000116667	C1orf21
ENSMUSG00000020548	1700086D15Rik		
ENSMUSG00000022507	1810013L24Rik	ENSG00000182831	C16orf72
ENSMUSG00000079283	2310009B15Rik	ENSG00000203724	C1orf53
ENSMUSG00000052419	2610001J05Rik	ENSG00000214194	SMIM30
ENSMUSG00000060375	3110018I06Rik		
ENSMUSG00000026734	4921504E06Rik	ENSG00000179133	C10orf67
ENSMUSG00000049902	4921517D22Rik		
ENSMUSG00000040919	4930505A04Rik	ENSG00000177994	C2orf73
ENSMUSG00000024546	4930546C10Rik		
ENSMUSG00000005131	4930550C14Rik	ENSG00000166323	C11orf65
ENSMUSG00000051788	4930564D02Rik		
ENSMUSG00000069971	4933402J07Rik	ENSG00000166152	C16orf78
ENSMUSG00000071749	4933412E24Rik	ENSG00000215113	CXorf49B
ENSMUSG00000071749	4933412E24Rik	ENSG00000215115	CXorf49
ENSMUSG00000071749	4933412E24Rik	ENSG00000283599	
ENSMUSG00000029089	5730480H06Rik	ENSG00000163138	PACRGL
ENSMUSG00000021600	8030423J24Rik		
ENSMUSG00000079602	9230102O04Rik		
ENSMUSG00000053181	A830005F24Rik		
ENSMUSG00000055923	Aasdh	ENSG00000157426	AASDH
ENSMUSG00000018697	Aatf	ENSG00000275700	AATF
ENSMUSG00000072791	Abcb5	ENSG00000004846	ABCB5
ENSMUSG00000042895	Abra	ENSG00000174429	ABRA
ENSMUSG00000032724	Abtb2	ENSG00000166016	ABTB2
ENSMUSG00000042010	Acacb	ENSG00000076555	ACACB
ENSMUSG00000018796	Acsl1	ENSG00000151726	ACSL1
ENSMUSG00000068614	Actc1	ENSG00000159251	ACTC1
ENSMUSG00000052374	Actn2	ENSG00000077522	ACTN2
ENSMUSG00000026836	Acvr1	ENSG00000115170	ACVR1
ENSMUSG00000020926	Adam11	ENSG00000073670	ADAM11
ENSMUSG00000058145	Adamts17	ENSG00000140470	ADAMTS17
ENSMUSG00000022449	Adamts20	ENSG00000173157	ADAMTS20
ENSMUSG00000046169	Adamts6	ENSG00000049192	ADAMTS6
ENSMUSG00000030022	Adamts9	ENSG00000163638	ADAMTS9
ENSMUSG00000025026	Add3	ENSG00000148700	ADD3
ENSMUSG00000044017	Adgrd1	ENSG00000111452	ADGRD1
ENSMUSG00000037605	Adgrl3	ENSG00000150471	ADGRL3
ENSMUSG00000069170	Adgrv1	ENSG00000164199	ADGRV1
ENSMUSG00000039197	Adk	ENSG00000156110	ADK
ENSMUSG00000051149	Adnp	ENSG00000101126	ADNP
ENSMUSG00000031448	Adprhl1		
ENSMUSG00000035283	Adrb1	ENSG00000043591	ADRB1
ENSMUSG00000022407	Adsl	ENSG00000239900	ADSL
ENSMUSG00000030232	Aebp2	ENSG00000139154	AEBP2
ENSMUSG00000055013	Agap1	ENSG00000157985	AGAP1
ENSMUSG00000025754	Agbl1	ENSG00000273540	AGBL1
ENSMUSG00000033400	Agl	ENSG00000162688	AGL
ENSMUSG00000019806	Aig1	ENSG00000146416	AIG1
ENSMUSG00000028792	Ak2	ENSG00000004455	AK2
ENSMUSG00000018428	Akap1	ENSG00000121057	AKAP1
ENSMUSG00000038587	Akap12	ENSG00000131016	AKAP12
ENSMUSG00000066406	Akap13	ENSG00000170776	AKAP13
ENSMUSG00000061603	Akap6	ENSG00000151320	AKAP6
ENSMUSG00000022636	Alcam	ENSG00000170017	ALCAM
ENSMUSG00000010025	Aldh3a2	ENSG00000072210	ALDH3A2
ENSMUSG00000042650	Alkbh5	ENSG00000091542	ALKBH5
ENSMUSG00000032845	Alpk2	ENSG00000198796	ALPK2
ENSMUSG00000021986	Amer2	ENSG00000165566	AMER2
ENSMUSG00000042225	Ammecr1	ENSG00000101935	AMMECR1
ENSMUSG00000029466	Anapc7	ENSG00000196510	ANAPC7
ENSMUSG00000022265	Ank	ENSG00000154122	ANKH
ENSMUSG00000032826	Ank2	ENSG00000145362	ANK2
ENSMUSG00000069601	Ank3		
ENSMUSG00000024803	Ankrd1	ENSG00000148677	ANKRD1
ENSMUSG00000014496	Ankrd28	ENSG00000206560	ANKRD28
ENSMUSG00000022237	Ankrd33b	ENSG00000164236	ANKRD33B
ENSMUSG00000044864	Ankrd50	ENSG00000151458	ANKRD50
ENSMUSG00000049985	Ankrd55	ENSG00000164512	ANKRD55
ENSMUSG00000064210	Ano6	ENSG00000177119	ANO6
ENSMUSG00000015749	Anp32e	ENSG00000143401	ANP32E
ENSMUSG00000031635	Anxa10	ENSG00000109511	ANXA10
ENSMUSG00000018340	Anxa6	ENSG00000197043	ANXA6
ENSMUSG00000079554	Aox2		
ENSMUSG00000029207	Apbb2	ENSG00000163697	APBB2
ENSMUSG00000079508	Apoo	ENSG00000184831	APOO
ENSMUSG00000022892	App	ENSG00000142192	APP
ENSMUSG00000030047	Arhgap25	ENSG00000163219	ARHGAP25
ENSMUSG00000118193	Arhgap26		
ENSMUSG00000036452	Arhgap26	ENSG00000145819	ARHGAP26
ENSMUSG00000039831	Arhgap29	ENSG00000137962	ARHGAP29
ENSMUSG00000041444	Arhgap32	ENSG00000134909	ARHGAP32
ENSMUSG00000031355	Arhgap6	ENSG00000047648	ARHGAP6
ENSMUSG00000071176	Arhgef10	ENSG00000104728	ARHGEF10
ENSMUSG00000028059	Arhgef2	ENSG00000116584	ARHGEF2
ENSMUSG00000021662	Arhgef28	ENSG00000214944	ARHGEF28
ENSMUSG00000021895	Arhgef3	ENSG00000163947	ARHGEF3
ENSMUSG00000031511	Arhgef7	ENSG00000102606	ARHGEF7
ENSMUSG00000007880	Arid1a	ENSG00000117713	ARID1A
ENSMUSG00000069729	Arid1b	ENSG00000049618	ARID1B
ENSMUSG00000033237	Arid2	ENSG00000189079	ARID2
ENSMUSG00000071324	Armc2	ENSG00000118690	ARMC2
ENSMUSG00000055116	Arntl	ENSG00000133794	ARNTL
ENSMUSG00000006304	Arpc2	ENSG00000163466	ARPC2
ENSMUSG00000018909	Arrb1	ENSG00000137486	ARRB1
ENSMUSG00000074794	Arrdc3	ENSG00000113369	ARRDC3
ENSMUSG00000042659	Arrdc4	ENSG00000140450	ARRDC4
ENSMUSG00000042082	Arsb	ENSG00000113273	ARSB
ENSMUSG00000035277	Arx	ENSG00000004848	ARX
ENSMUSG00000029685	Asb15	ENSG00000146809	ASB15
ENSMUSG00000067081	Asb18	ENSG00000182177	ASB18
ENSMUSG00000021200	Asb2	ENSG00000100628	ASB2
ENSMUSG00000044475	Ascc1	ENSG00000138303	ASCC1
ENSMUSG00000028207	Asph	ENSG00000198363	ASPH
ENSMUSG00000028373	Astn2	ENSG00000148219	ASTN2
ENSMUSG00000045215	Asxl3	ENSG00000141431	ASXL3
ENSMUSG00000023027	Atf1	ENSG00000123268	ATF1
ENSMUSG00000059811	Atl2	ENSG00000119787	ATL2
ENSMUSG00000034218	Atm	ENSG00000149311	ATM
ENSMUSG00000037621	Atoh8	ENSG00000168874	ATOH8
ENSMUSG00000033161	Atp1a1	ENSG00000163399	ATP1A1
ENSMUSG00000026576	Atp1b1	ENSG00000143153	ATP1B1
ENSMUSG00000029467	Atp2a2	ENSG00000174437	ATP2A2
ENSMUSG00000022890	Atp5j	ENSG00000154723	ATP5PF
ENSMUSG00000116933	Atp5o	ENSG00000159147	DONSON
ENSMUSG00000022956	Atp5o	ENSG00000241837	ATP5PO
ENSMUSG00000022956	Atp5o	ENSG00000249209	
ENSMUSG00000031007	Atp6ap2	ENSG00000182220	ATP6AP2
ENSMUSG00000015575	Atp6v0e	ENSG00000113732	ATP6V0E1
ENSMUSG00000006273	Atp6v1b2	ENSG00000147416	ATP6V1B2
ENSMUSG00000026394	Atp6v1g3	ENSG00000151418	ATP6V1G3
ENSMUSG00000039529	Atp8b1	ENSG00000081923	ATP8B1
ENSMUSG00000046876	Atxn1	ENSG00000124788	ATXN1
ENSMUSG00000020564	Atxn7l1	ENSG00000146776	ATXN7L1
ENSMUSG00000029673	Auts2	ENSG00000158321	AUTS2
ENSMUSG00000043300	B3galnt1	ENSG00000169255	B3GALNT1
ENSMUSG00000034780	B3galt1	ENSG00000172318	B3GALT1
ENSMUSG00000040605	Bace2	ENSG00000182240	BACE2
ENSMUSG00000025612	Bach1	ENSG00000156273	BACH1
ENSMUSG00000040270	Bach2	ENSG00000112182	BACH2
ENSMUSG00000025316	Banp	ENSG00000172530	BANP
ENSMUSG00000032033	Barx2	ENSG00000043039	BARX2
ENSMUSG00000026987	Baz2b	ENSG00000123636	BAZ2B
ENSMUSG00000002083	Bbc3	ENSG00000105327	BBC3
ENSMUSG00000022641	Bbx	ENSG00000114439	BBX
ENSMUSG00000000861	Bcl11a	ENSG00000119866	BCL11A
ENSMUSG00000048251	Bcl11b	ENSG00000127152	BCL11B
ENSMUSG00000030200	Bcl2l14	ENSG00000121380	BCL2L14
ENSMUSG00000038256	Bcl9	ENSG00000116128	BCL9
ENSMUSG00000040363	Bcor	ENSG00000183337	BCOR
ENSMUSG00000036959	Bcorl1	ENSG00000085185	BCORL1
ENSMUSG00000009681	Bcr	ENSG00000186716	BCR
ENSMUSG00000042182	Bend6	ENSG00000151917	BEND6
ENSMUSG00000014329	Bicc1	ENSG00000122870	BICC1
ENSMUSG00000041609	Bicdl1	ENSG00000135127	BICDL1
ENSMUSG00000014453	Blk	ENSG00000136573	BLK
ENSMUSG00000030528	Blm	ENSG00000197299	BLM
ENSMUSG00000030046	Bmp10	ENSG00000163217	BMP10
ENSMUSG00000039004	Bmp6	ENSG00000153162	BMP6
ENSMUSG00000031963	Bmper	ENSG00000164619	BMPER
ENSMUSG00000028487	Bnc2	ENSG00000173068	BNC2
ENSMUSG00000038871	Bpgm	ENSG00000172331	BPGM
ENSMUSG00000031660	Brd7	ENSG00000166164	BRD7
ENSMUSG00000062098	Btbd3	ENSG00000132640	BTBD3
ENSMUSG00000036478	Btg1	ENSG00000133639	BTG1
ENSMUSG00000022863	Btg3	ENSG00000154640	BTG3
ENSMUSG00000066979	Bub3	ENSG00000154473	BUB3
ENSMUSG00000071317	Bves	ENSG00000112276	BVES
ENSMUSG00000051223	Bzw1	ENSG00000082153	BZW1
ENSMUSG00000000581	C1d	ENSG00000197223	C1D
ENSMUSG00000047990	C2cd4a		
ENSMUSG00000091956	C2cd4b		
ENSMUSG00000024430	Cabyr	ENSG00000154040	CABYR
ENSMUSG00000051331	Cacna1c	ENSG00000151067	CACNA1C
ENSMUSG00000015968	Cacna1d	ENSG00000157388	CACNA1D
ENSMUSG00000066189	Cacng3	ENSG00000006116	CACNG3
ENSMUSG00000078815	Cacng6	ENSG00000130433	CACNG6
ENSMUSG00000029761	Cald1	ENSG00000122786	CALD1
ENSMUSG00000053819	Camk2d		
ENSMUSG00000071037	Camkmt	ENSG00000143919	CAMKMT
ENSMUSG00000014592	Camta1	ENSG00000171735	CAMTA1
ENSMUSG00000021373	Cap2	ENSG00000112186	CAP2
ENSMUSG00000079110	Capn3	ENSG00000092529	CAPN3
ENSMUSG00000027861	Casq2	ENSG00000118729	CASQ2
ENSMUSG00000051980	Casr	ENSG00000036828	CASR
ENSMUSG00000000058	Cav2	ENSG00000105971	CAV2
ENSMUSG00000062694	Cav3	ENSG00000182533	CAV3
ENSMUSG00000045954	Cavin2	ENSG00000168497	CAVIN2
ENSMUSG00000022637	Cblb	ENSG00000114423	CBLB
ENSMUSG00000031641	Cbr4	ENSG00000145439	CBR4
ENSMUSG00000009575	Cbx5		
ENSMUSG00000071104	Ccdc110	ENSG00000168491	CCDC110
ENSMUSG00000050625	Ccdc121		
ENSMUSG00000044033	Ccdc141	ENSG00000163492	CCDC141
ENSMUSG00000045790	Ccdc149	ENSG00000181982	CCDC149
ENSMUSG00000075225	Ccdc162		
ENSMUSG00000052407	Ccdc171	ENSG00000164989	CCDC171
ENSMUSG00000034031	Ccdc182	ENSG00000166329	CCDC182
ENSMUSG00000035173	Ccdc186	ENSG00000165813	CCDC186
ENSMUSG00000027676	Ccdc39	ENSG00000284862	CCDC39
ENSMUSG00000050685	Ccdc54	ENSG00000138483	CCDC54
ENSMUSG00000048701	Ccdc6	ENSG00000108091	CCDC6
ENSMUSG00000038903	Ccdc68	ENSG00000166510	CCDC68
ENSMUSG00000027829	Ccnl1	ENSG00000163660	CCNL1
ENSMUSG00000070871	Ccnyl1	ENSG00000178440	TIMM23B-AGAP6
ENSMUSG00000037944	Ccr7	ENSG00000126353	CCR7
ENSMUSG00000021624	Cd180	ENSG00000134061	CD180
ENSMUSG00000016494	Cd34	ENSG00000174059	CD34
ENSMUSG00000015396	Cd83	ENSG00000112149	CD83
ENSMUSG00000027435	Cd93	ENSG00000125810	CD93
ENSMUSG00000033102	Cdc14b	ENSG00000218305	CDC14C
ENSMUSG00000033102	Cdc14b	ENSG00000081377	CDC14B
ENSMUSG00000055612	Cdca7	ENSG00000144354	CDCA7
ENSMUSG00000021175	Cdca7l	ENSG00000164649	CDCA7L
ENSMUSG00000039385	Cdh6	ENSG00000113361	CDH6
ENSMUSG00000035860	Cdhr3	ENSG00000128536	CDHR3
ENSMUSG00000028926	Cdk14	ENSG00000058091	CDK14
ENSMUSG00000020015	Cdk17	ENSG00000059758	CDK17
ENSMUSG00000006191	Cdkal1	ENSG00000145996	CDKAL1
ENSMUSG00000033022	Cdo1	ENSG00000129596	CDO1
ENSMUSG00000059288	Cdyl	ENSG00000153046	CDYL
ENSMUSG00000031629	Cenpu	ENSG00000151725	CENPU
ENSMUSG00000048799	Cep120	ENSG00000168944	CEP120
ENSMUSG00000036403	Cep135	ENSG00000174799	CEP135
ENSMUSG00000019813	Cep57l1	ENSG00000183137	CEP57L1
ENSMUSG00000020024	Cep83	ENSG00000173588	CEP83
ENSMUSG00000027313	Chac1	ENSG00000128965	CHAC1
ENSMUSG00000078671	Chd2	ENSG00000173575	CHD2
ENSMUSG00000041235	Chd7	ENSG00000171316	CHD7
ENSMUSG00000029521	Chek2	ENSG00000183765	CHEK2
ENSMUSG00000056486	Chn1	ENSG00000128656	CHN1
ENSMUSG00000027107	Chrna1	ENSG00000138435	CHRNA1
ENSMUSG00000033350	Chst2	ENSG00000175040	CHST2
ENSMUSG00000024526	Cidea	ENSG00000176194	CIDEA
ENSMUSG00000022504	Ciita	ENSG00000179583	CIITA
ENSMUSG00000029516	Cit	ENSG00000122966	CIT
ENSMUSG00000070803	Cited4	ENSG00000179862	CITED4
ENSMUSG00000064302	Clasp1	ENSG00000074054	CLASP1
ENSMUSG00000004317	Clcn5	ENSG00000171365	CLCN5
ENSMUSG00000045930	Clec14a	ENSG00000176435	CLEC14A
ENSMUSG00000023959	Clic5	ENSG00000112782	CLIC5
ENSMUSG00000026317	Cln8	ENSG00000182372	CLN8
ENSMUSG00000041216	Clvs1	ENSG00000177182	CLVS1
ENSMUSG00000016756	Cmah		
ENSMUSG00000034390	Cmip	ENSG00000153815	CMIP
ENSMUSG00000022748	Cmss1	ENSG00000184220	CMSS1
ENSMUSG00000040759	Cmtm5	ENSG00000166091	CMTM5
ENSMUSG00000026514	Cnih3	ENSG00000143786	CNIH3
ENSMUSG00000022025	Cnmd	ENSG00000136110	CNMD
ENSMUSG00000030075	Cntn3	ENSG00000113805	CNTN3
ENSMUSG00000020173	Cobl	ENSG00000106078	COBL
