Ensembl Gene ID	Associated Gene Name	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]
ENSMUSG00000036299	BC031181	NM_001001181	
ENSMUSG00000026987	Baz2b	NM_001001182	
ENSMUSG00000024168	Tmem204	NM_001001183	
ENSMUSG00000038225	Primpol	NM_001001184	
ENSMUSG00000064063	BC048507	NM_001001185	
ENSMUSG00000048280	Zfp738	NM_001001187	
ENSMUSG00000032396	Dis3l	NM_001001295	
ENSMUSG00000026768	Itga8	NM_001001309	
ENSMUSG00000031024	St5	NM_001001326	
ENSMUSG00000054715	Zscan22	NM_001001447	
ENSMUSG00000031799	Tpm4	NM_001001491	
ENSMUSG00000059355	Wdr83os	NM_001001493	
ENSMUSG00000032997	Chpf	NM_001001566	
ENSMUSG00000026883	Dab2ip	NM_001001602	
ENSMUSG00000054823	Whsc1l1	NM_001001735	
ENSMUSG00000044948	Cfap43	NM_001001738	
ENSMUSG00000045817	Zfp36l2	NM_001001806	
ENSMUSG00000026566	Mpzl1	NM_001001880	
ENSMUSG00000043391	2510009E07Rik	NM_001001881	
ENSMUSG00000042807	Hecw2	NM_001001883	
ENSMUSG00000023009	Nckap5l	NM_001001884	
ENSMUSG00000061232	H2-K1	NM_001001892	
ENSMUSG00000036499	Eea1	NM_001001932	
ENSMUSG00000037736	Limch1	NM_001001980	
ENSMUSG00000045838	A430105I19Rik	NM_001001982	
ENSMUSG00000041720	Pi4ka	NM_001001983	
ENSMUSG00000054611	Kdm2a	NM_001001984	
ENSMUSG00000061411	Nol4l	NM_001001986	
ENSMUSG00000010277	2610507B11Rik	NM_001002004	
ENSMUSG00000067931	Zfp948	NM_001002008	
ENSMUSG00000028063	Lmna	NM_001002011	
ENSMUSG00000039116	Gpr126	NM_001002268	
ENSMUSG00000025272	Tro	NM_001002272	
ENSMUSG00000038290	Smg6	NM_001002764	
ENSMUSG00000062753	AI413582	NM_001002895	
ENSMUSG00000020739	Nup85	NM_001002929	
ENSMUSG00000020189	Osbpl8	NM_001003717	
ENSMUSG00000062312	Erbb2	NM_001003817	
ENSMUSG00000047126	Cltc	NM_001003908	
ENSMUSG00000040351	Ankib1	NM_001003909	
ENSMUSG00000032363	Adamts7	NM_001003911	
ENSMUSG00000041977	Arhgef11	NM_001003912	
ENSMUSG00000040354	Mars	NM_001003913	
ENSMUSG00000035062	Zc4h2	NM_001003916	
ENSMUSG00000033124	Atg9a	NM_001003917	
ENSMUSG00000022710	Usp7	NM_001003918	
ENSMUSG00000035842	Ddx11	NM_001003919	
ENSMUSG00000035390	Brsk1	NM_001003920	
ENSMUSG00000024758	Rtn3	NM_001003934	
ENSMUSG00000045658	Pid1	NM_001003948	
ENSMUSG00000013858	Tmem259	NM_001003949	
ENSMUSG00000064181	Rab3ip	NM_001003950	
ENSMUSG00000051343	Rab11fip5	NM_001003955	
ENSMUSG00000003575	Crtc1	NM_001004062	
ENSMUSG00000042063	Zfp386	NM_001004066	
ENSMUSG00000037725	Ckap2	NM_001004140	
ENSMUSG00000042506	Usp22	NM_001004143	
ENSMUSG00000011877	Git1	NM_001004144	
ENSMUSG00000038188	Scarf1	NM_001004157	
ENSMUSG00000035311	Gnptab	NM_001004164	
ENSMUSG00000061143	Maml3	NM_001004176	
ENSMUSG00000045795	Whamm	NM_001004185	
ENSMUSG00000042293	Gm5617	NM_001004191	
ENSMUSG00000060301	2610008E11Rik	NM_001004362	
ENSMUSG00000020032	Nuak1	NM_001004363	
ENSMUSG00000052632	Asap2	NM_001004364	
ENSMUSG00000056367	Actr3b	NM_001004365	
ENSMUSG00000044365	Cxxc4	NM_001004367	
ENSMUSG00000041408	Wapal	NM_001004436	
ENSMUSG00000038383	Pigu	NM_001004721	
ENSMUSG00000020526	Znhit3	NM_001005223	
ENSMUSG00000045983	Eif4g1	NM_001005331	
ENSMUSG00000018427	Ypel2	NM_001005341	
ENSMUSG00000057134	Ado	NM_001005419	
ENSMUSG00000035829	Ppp1r26	NM_001005420	
ENSMUSG00000041115	Iqsec2	NM_001005475	
ENSMUSG00000053841	Txlna	NM_001005506	
ENSMUSG00000042772	Smg7	NM_001005507	
ENSMUSG00000027810	Eif2a	NM_001005509	
ENSMUSG00000063450	Syne2	NM_001005510	
ENSMUSG00000029422	Rsrc2	NM_001005525	
ENSMUSG00000030232	Aebp2	NM_001005605	
ENSMUSG00000033918	Parl	NM_001005767	
ENSMUSG00000064141	Zfp69	NM_001005788	
ENSMUSG00000031521	Aga	NM_001005847	
ENSMUSG00000062006	Rpl34	NM_001005859	
ENSMUSG00000045636	Mtus1	NM_001005863	
ENSMUSG00000045636	Mtus1	NM_001005865	
ENSMUSG00000041164	Zmiz2	NM_001005867	
ENSMUSG00000021709	Erbb2ip	NM_001005868	
ENSMUSG00000079605	Zbtb9	NM_001005916	
ENSMUSG00000033106	Slc7a6os	NM_001007567	
ENSMUSG00000022526	Zfp251	NM_001007568	
ENSMUSG00000002346	Slc25a42	NM_001007570	
ENSMUSG00000019362	D8Ertd738e	NM_001007571	
ENSMUSG00000071291	Zfp58	NM_001007575	
ENSMUSG00000050394	Armcx6	NM_001007578	
ENSMUSG00000039725	2810408M09Rik	NM_001007581	
ENSMUSG00000028291	Akirin2	NM_001007589	
ENSMUSG00000021087	Rtn1	NM_001007596	
ENSMUSG00000040260	Daam2	NM_001008231	
ENSMUSG00000011958	Bnip2	NM_001008238	
ENSMUSG00000061458	Nol10	NM_001008421	
ENSMUSG00000038406	Scaf1	NM_001008422	
ENSMUSG00000041319	Thoc6	NM_001008425	
ENSMUSG00000039715	Wdr34	NM_001008498	
ENSMUSG00000067928	Zfp760	NM_001008501	
ENSMUSG00000025025	Mxi1	NM_001008542	
ENSMUSG00000066440	Zfyve26	NM_001008550	
ENSMUSG00000038722	Bud31	NM_001008705	
ENSMUSG00000072969	Armcx5	NM_001009575	
ENSMUSG00000058013	Sept11	NM_001009818	
ENSMUSG00000018599	Mief2	NM_001009927	
ENSMUSG00000031093	Dock11	NM_001009947	
ENSMUSG00000045973	Slc25a51	NM_001009949	
ENSMUSG00000038215	Cep44	NM_001009951	
ENSMUSG00000059173	Pde1a	NM_001009978	
ENSMUSG00000061607	Mdc1	NM_001010833	
ENSMUSG00000040734	Ppp1r13l	NM_001010836	
ENSMUSG00000017716	Birc5	NM_001012273	
ENSMUSG00000037958	Ccdc55	NM_001012309	
ENSMUSG00000043631	Ecm2	NM_001012324	
ENSMUSG00000063659	Zbtb18	NM_001012330	
ENSMUSG00000027239	Mdk	NM_001012335	
ENSMUSG00000027239	Mdk	NM_001012336	
ENSMUSG00000063275	Ptpla	NM_001012396	
ENSMUSG00000078584	AU022252	NM_001012400	
ENSMUSG00000036854	Hspb6	NM_001012401	
ENSMUSG00000061353	Cxcl12	NM_001012477	
ENSMUSG00000046152	Fut10	NM_001012517	
ENSMUSG00000038000	Acd	NM_001012638	
ENSMUSG00000022840	Adcy5	NM_001012765	
ENSMUSG00000046792	Zfp787	NM_001013012	
ENSMUSG00000033044	Dhrs7c	NM_001013013	
ENSMUSG00000056900	Usp13	NM_001013024	
ENSMUSG00000070939	Tgfbrap1	NM_001013025	
ENSMUSG00000033222	Ttf2	NM_001013026	
ENSMUSG00000060935	Tmem263	NM_001013028	
ENSMUSG00000058486	Wdr91	NM_001013366	
ENSMUSG00000050697	Prkaa1	NM_001013367	
ENSMUSG00000046179	E2f8	NM_001013368	
ENSMUSG00000052033	Pfdn4	NM_001013369	
ENSMUSG00000038332	Sesn1	NM_001013370	
ENSMUSG00000049502	Dtx3l	NM_001013371	
ENSMUSG00000001143	Lman2l	NM_001013374	
ENSMUSG00000054079	Utp18	NM_001013375	
ENSMUSG00000049950	Rpp38	NM_001013376	
ENSMUSG00000051517	Arhgef39	NM_001013377	
ENSMUSG00000059897	Zfp930	NM_001013379	
ENSMUSG00000035770	Dync1li2	NM_001013380	
ENSMUSG00000039096	Rsad1	NM_001013381	
ENSMUSG00000020684	Rasl10b	NM_001013386	
ENSMUSG00000054737	Zfp182	NM_001013387	
ENSMUSG00000021339	Mrs2	NM_001013389	
ENSMUSG00000055531	Cpsf6	NM_001013391	
ENSMUSG00000047284	Neurl4	NM_001013414	
ENSMUSG00000035620	Ric8b	NM_001013441	
ENSMUSG00000038544	Inip	NM_001013577	
ENSMUSG00000025812	Pard3	NM_001013580	
ENSMUSG00000024766	Lipo1	NM_001013770	
ENSMUSG00000022228	Zscan26	NM_001013786	
ENSMUSG00000046034	Otulin	NM_001013792	
ENSMUSG00000039988	Ankrd13c	NM_001013806	
ENSMUSG00000031925	Maml2	NM_001013813	
ENSMUSG00000032607	Amt	NM_001013814	
ENSMUSG00000033256	Shf	NM_001013829	
ENSMUSG00000052920	Prkg1	NM_001013833	
ENSMUSG00000028630	Dyrk2	NM_001014390	
ENSMUSG00000020234	4930404N11Rik	NM_001014836	
ENSMUSG00000020590	Snx13	NM_001014973	
ENSMUSG00000033257	Ttll4	NM_001014974	
ENSMUSG00000058290	Espl1	NM_001014976	
ENSMUSG00000040560	Wdr7	NM_001014981	
ENSMUSG00000032657	Fam189b	NM_001014995	
ENSMUSG00000064128	Cenpj	NM_001014996	
ENSMUSG00000038807	Rap1gap2	NM_001015046	
ENSMUSG00000035293	G2e3	NM_001015099	
ENSMUSG00000040325	Vprbp	NM_001015507	
ENSMUSG00000045071	E130308A19Rik	NM_001015681	
ENSMUSG00000056310	Tyw1	NM_001015876	
ENSMUSG00000018476	Kdm6b	NM_001017426	
ENSMUSG00000046516	Cox17	NM_001017429	
ENSMUSG00000016534	Lamp2	NM_001017959	
ENSMUSG00000078515	Ddi2	NM_001017966	
ENSMUSG00000037553	Zdhhc18	NM_001017968	
ENSMUSG00000047248	C2cd3	NM_001017985	
ENSMUSG00000027109	Sp3	NM_001018042	
ENSMUSG00000067924	Cxx1b	NM_001018063	
ENSMUSG00000043881	Kbtbd7	NM_001024135	
ENSMUSG00000033453	Adamts15	NM_001024139	
ENSMUSG00000048232	Fbxo10	NM_001024142	
ENSMUSG00000037857	Nufip2	NM_001024205	
ENSMUSG00000049299	Trappc1	NM_001024206	
ENSMUSG00000027357	Crls1	NM_001024385	
ENSMUSG00000029106	Add1	NM_001024458	
ENSMUSG00000057649	Brd9	NM_001024508	
ENSMUSG00000039599	Fam149b	NM_001024512	
ENSMUSG00000023025	Larp4	NM_001024526	
ENSMUSG00000056185	Snx32	NM_001024560	
ENSMUSG00000072825	Cep170b	NM_001024602	
ENSMUSG00000014496	Ankrd28	NM_001024604	
ENSMUSG00000015087	Rabl6	NM_001024616	
ENSMUSG00000037940	Inpp4b	NM_001024617	
ENSMUSG00000071533	Pcnp	NM_001024622	
ENSMUSG00000031292	Cdkl5	NM_001024624	
ENSMUSG00000061371	Zfp873	NM_001024626	
ENSMUSG00000049600	Zbtb45	NM_001024699	
ENSMUSG00000033088	Triobp	NM_001024716	
ENSMUSG00000066842	Hmcn1	NM_001024720	
ENSMUSG00000065952	C330021F23Rik	NM_001024728	
ENSMUSG00000024081	Cebpz	NM_001024806	
ENSMUSG00000021079	Timm9	NM_001024853	
ENSMUSG00000021079	Timm9	NM_001024854	
ENSMUSG00000019917	Sept10	NM_001024911	
ENSMUSG00000037795	N4bp2	NM_001024917	
ENSMUSG00000044502	Bod1	NM_001024919	
ENSMUSG00000044328	Trp53i13	NM_001024920	
ENSMUSG00000057788	Ddx49	NM_001024922	
ENSMUSG00000033684	Qsox1	NM_001024945	
ENSMUSG00000040423	Rc3h1	NM_001024952	
ENSMUSG00000032913	Lrig2	NM_001025067	
ENSMUSG00000027104	Atf2	NM_001025093	
ENSMUSG00000027122	Arl14ep	NM_001025102	
ENSMUSG00000048200	Cracr2b	NM_001025103	
ENSMUSG00000022865	Cxadr	NM_001025192	
ENSMUSG00000068735	Trp53i11	NM_001025246	
ENSMUSG00000023951	Vegfa	NM_001025250	
ENSMUSG00000023951	Vegfa	NM_001025257	
ENSMUSG00000027506	Tpd52	NM_001025263	
ENSMUSG00000028974	Dffa	NM_001025296	
ENSMUSG00000024083	Pja2	NM_001025309	
ENSMUSG00000026811	St6galnac6	NM_001025311	
ENSMUSG00000021288	Klc1	NM_001025360	
ENSMUSG00000030401	Rtn2	NM_001025364	
ENSMUSG00000029022	Miip	NM_001025365	
ENSMUSG00000029778	Adcyap1r1	NM_001025372	
ENSMUSG00000053347	Zfp943	NM_001025373	
ENSMUSG00000061559	Wdr61	NM_001025375	
ENSMUSG00000061559	Wdr61	NM_001025376	
ENSMUSG00000026037	Orc2	NM_001025378	
ENSMUSG00000059040	Eno1b	NM_001025388	
ENSMUSG00000025231	Sufu	NM_001025391	
ENSMUSG00000027646	Src	NM_001025395	
ENSMUSG00000020859	Spag9	NM_001025430	
ENSMUSG00000062098	Btbd3	NM_001025431	
ENSMUSG00000022521	Crebbp	NM_001025432	
ENSMUSG00000053819	Camk2d	NM_001025438	
ENSMUSG00000053819	Camk2d	NM_001025439	
ENSMUSG00000029507	Pus1	NM_001025562	
ENSMUSG00000034647	Ankrd12	NM_001025572	
ENSMUSG00000044033	Ccdc141	NM_001025576	
ENSMUSG00000055435	Maf	NM_001025577	
ENSMUSG00000071078	Nr2c2ap	NM_001025587	
ENSMUSG00000024457	Trim26	NM_001025599	
ENSMUSG00000040842	Szrd1	NM_001025608	
ENSMUSG00000038495	Otud7b	NM_001025614	
ENSMUSG00000017499	Cdc6	NM_001025779	
ENSMUSG00000022789	Dnm1l	NM_001025947	
ENSMUSG00000038619	Ensa	NM_001026212	
ENSMUSG00000021236	Entpd5	NM_001026214	
ENSMUSG00000079197	Psme2	NM_001029855	
ENSMUSG00000017550	Atad5	NM_001029856	
ENSMUSG00000031976	Urb2	NM_001029876	
ENSMUSG00000068284	Gm608	NM_001029889	
ENSMUSG00000074480	Mex3a	NM_001029890	
ENSMUSG00000030850	Ate1	NM_001029895	
ENSMUSG00000000804	Usp32	NM_001029934	
ENSMUSG00000042331	Specc1	NM_001029936	
ENSMUSG00000042625	Safb2	NM_001029979	
ENSMUSG00000055319	Sec23ip	NM_001029982	
ENSMUSG00000036646	Man1b1	NM_001029983	
ENSMUSG00000004561	Mettl17	NM_001029990	
ENSMUSG00000017478	Zc3h18	NM_001029994	
ENSMUSG00000048755	Mcat	NM_001030014	
ENSMUSG00000031403	Dkc1	NM_001030307	
ENSMUSG00000057177	Gsk3a	NM_001031667	
ENSMUSG00000036850	Mrpl41	NM_001031808	
ENSMUSG00000030655	Smg1	NM_001031814	
ENSMUSG00000020717	Pecam1	NM_001032378	
ENSMUSG00000021579	Lrrc14b	NM_001033042	
ENSMUSG00000048234	Rnf149	NM_001033135	
ENSMUSG00000070730	Rmdn3	NM_001033136	
ENSMUSG00000024970	AI846148	NM_001033139	
ENSMUSG00000074211	Sdhaf1	NM_001033140	
ENSMUSG00000073599	Ecscr	NM_001033141	
ENSMUSG00000014470	Rnf166	NM_001033142	
ENSMUSG00000045414	1190002N15Rik	NM_001033145	
ENSMUSG00000042734	Ttc9	NM_001033149	
ENSMUSG00000028917	Plekhm2	NM_001033150	
ENSMUSG00000074212	Dnajb14	NM_001033155	
ENSMUSG00000035329	Fbxo33	NM_001033156	
ENSMUSG00000039789	Zfp597	NM_001033159	
ENSMUSG00000031887	Tradd	NM_001033161	
ENSMUSG00000071632	2510002D24Rik	NM_001033164	
ENSMUSG00000070972	Dnajc25	NM_001033165	
ENSMUSG00000076437	2700094K13Rik	NM_001033166	
ENSMUSG00000038267	Slc22a23	NM_001033167	
ENSMUSG00000063317	Usp31	NM_001033173	
ENSMUSG00000024687	Osbp	NM_001033174	
ENSMUSG00000032245	Cln6	NM_001033175	
ENSMUSG00000038141	Tmem181a	NM_001033178	
ENSMUSG00000069237	C78339	NM_001033192	
ENSMUSG00000041303	Gtf3c3	NM_001033194	
ENSMUSG00000039501	Znfx1	NM_001033196	
ENSMUSG00000028330	Ncbp1	NM_001033201	
ENSMUSG00000029592	Usp30	NM_001033202	
ENSMUSG00000041361	Myzap	NM_001033208	
ENSMUSG00000033530	Ttc7b	NM_001033213	
ENSMUSG00000036158	Prickle1	NM_001033217	
ENSMUSG00000079020	Slc45a4	NM_001033219	
