Gene stable ID	Gene name	Human gene stable ID	Human gene name
ENSMUSG00000036275	9530068E07Rik	ENSG00000113583	C5orf15
ENSMUSG00000036880	Acaa2	ENSG00000167315	ACAA2
ENSMUSG00000062908	Acadm	ENSG00000117054	ACADM
ENSMUSG00000006717	Acot13	ENSG00000112304	ACOT13
ENSMUSG00000029580	Actb	ENSG00000075624	ACTB
ENSMUSG00000062825	Actg1	ENSG00000184009	ACTG1
ENSMUSG00000015143	Actn1	ENSG00000072110	ACTN1
ENSMUSG00000054808	Actn4		
ENSMUSG00000026341	Actr3	ENSG00000115091	ACTR3
ENSMUSG00000028138	Adh5	ENSG00000197894	ADH5
ENSMUSG00000026457	Adipor1	ENSG00000159346	ADIPOR1
ENSMUSG00000039197	Adk	ENSG00000156110	ADK
ENSMUSG00000051149	Adnp	ENSG00000101126	ADNP
ENSMUSG00000002844	Adprh	ENSG00000144843	ADPRH
ENSMUSG00000069833	Ahnak	ENSG00000124942	AHNAK
ENSMUSG00000021037	Ahsa1	ENSG00000100591	AHSA1
ENSMUSG00000026817	Ak1	ENSG00000106992	AK1
ENSMUSG00000028692	Akr1a1	ENSG00000117448	AKR1A1
ENSMUSG00000001729	Akt1	ENSG00000142208	AKT1
ENSMUSG00000030695	Aldoa	ENSG00000149925	ALDOA
ENSMUSG00000114515	Aldoa		
ENSMUSG00000035048	Anapc13	ENSG00000129055	ANAPC13
ENSMUSG00000032249	Anp32a	ENSG00000139223	ANP32D
ENSMUSG00000032249	Anp32a	ENSG00000140350	ANP32A
ENSMUSG00000015749	Anp32e	ENSG00000143401	ANP32E
ENSMUSG00000032231	Anxa2	ENSG00000182718	ANXA2
ENSMUSG00000018340	Anxa6	ENSG00000197043	ANXA6
ENSMUSG00000031996	Aplp2	ENSG00000084234	APLP2
ENSMUSG00000022892	App	ENSG00000142192	APP
ENSMUSG00000048076	Arf1	ENSG00000143761	ARF1
ENSMUSG00000040459	Arglu1	ENSG00000134884	ARGLU1
ENSMUSG00000025132	Arhgdia	ENSG00000141522	ARHGDIA
ENSMUSG00000025035	Arl3	ENSG00000138175	ARL3
ENSMUSG00000030654	Arl6ip1	ENSG00000170540	ARL6IP1
ENSMUSG00000042406	Atf4	ENSG00000128272	ATF4
ENSMUSG00000018585	Atox1	ENSG00000177556	ATOX1
ENSMUSG00000033161	Atp1a1	ENSG00000163399	ATP1A1
ENSMUSG00000032412	Atp1b3	ENSG00000069849	ATP1B3
ENSMUSG00000029467	Atp2a2	ENSG00000174437	ATP2A2
ENSMUSG00000034566	Atp5h	ENSG00000167863	ATP5PD
ENSMUSG00000038690	Atp5j2	ENSG00000241468	ATP5MF
ENSMUSG00000024121	Atp6v0c	ENSG00000185883	ATP6V0C
ENSMUSG00000015575	Atp6v0e	ENSG00000113732	ATP6V0E1
ENSMUSG00000021114	Atp6v1d	ENSG00000100554	ATP6V1D
ENSMUSG00000016541	Atxn10	ENSG00000130638	ATXN10
ENSMUSG00000074748	Atxn7l3b	ENSG00000253719	ATXN7L3B
ENSMUSG00000065990	Aurkaip1	ENSG00000175756	AURKAIP1
ENSMUSG00000045767	B230219D22Rik	ENSG00000181904	C5orf24
ENSMUSG00000024392	Bag6	ENSG00000204463	BAG6
ENSMUSG00000024844	Banf1		
ENSMUSG00000002015	Bcap31	ENSG00000185825	BCAP31
ENSMUSG00000037608	Bclaf1		
ENSMUSG00000017716	Birc5	ENSG00000089685	BIRC5
ENSMUSG00000090247	Bloc1s1		
ENSMUSG00000031660	Brd7	ENSG00000166164	BRD7
ENSMUSG00000051223	Bzw1	ENSG00000082153	BZW1
ENSMUSG00000020547	Bzw2	ENSG00000136261	BZW2
ENSMUSG00000029761	Cald1	ENSG00000122786	CALD1
ENSMUSG00000001175	Calm1	ENSG00000198668	CALM1
ENSMUSG00000036438	Calm2	ENSG00000143933	CALM2
ENSMUSG00000003814	Calr	ENSG00000179218	CALR
ENSMUSG00000029767	Calu	ENSG00000128595	CALU
ENSMUSG00000001794	Capns1	ENSG00000126247	CAPNS1
ENSMUSG00000028745	Capzb	ENSG00000077549	CAPZB
ENSMUSG00000044033	Ccdc141	ENSG00000163492	CCDC141
ENSMUSG00000000184	Ccnd2	ENSG00000118971	CCND2
ENSMUSG00000034165	Ccnd3	ENSG00000112576	CCND3
ENSMUSG00000030007	Cct7	ENSG00000135624	CCT7
ENSMUSG00000025613	Cct8	ENSG00000156261	CCT8
ENSMUSG00000037706	Cd81	ENSG00000110651	CD81
ENSMUSG00000027435	Cd93	ENSG00000125810	CD93
ENSMUSG00000019471	Cdc37	ENSG00000105401	CDC37
ENSMUSG00000006728	Cdk4	ENSG00000135446	CDK4
ENSMUSG00000005506	Celf1	ENSG00000149187	CELF1
ENSMUSG00000029177	Cenpa	ENSG00000115163	CENPA
ENSMUSG00000062929	Cfl2	ENSG00000165410	CFL2
ENSMUSG00000032232	Cgnl1	ENSG00000128849	CGNL1
ENSMUSG00000063787	Chchd1	ENSG00000172586	CHCHD1
ENSMUSG00000070493	Chchd2	ENSG00000106153	CHCHD2
ENSMUSG00000063870	Chd4	ENSG00000111642	CHD4
ENSMUSG00000063870	Chd4	ENSG00000285238	
ENSMUSG00000033916	Chmp2a	ENSG00000130724	CHMP2A
ENSMUSG00000038467	Chmp4b	ENSG00000101421	CHMP4B
ENSMUSG00000028044	Cks1b	ENSG00000173207	CKS1B
ENSMUSG00000064302	Clasp1	ENSG00000074054	CLASP1
ENSMUSG00000037242	Clic4	ENSG00000169504	CLIC4
ENSMUSG00000004665	Cnn2	ENSG00000064666	CNN2
ENSMUSG00000053931	Cnn3	ENSG00000117519	CNN3
ENSMUSG00000020362	Cnot6	ENSG00000113300	CNOT6
ENSMUSG00000025381	Cnpy2		
ENSMUSG00000029661	Col1a2	ENSG00000164692	COL1A2
ENSMUSG00000051355	Commd1	ENSG00000173163	COMMD1
ENSMUSG00000055681	Cope	ENSG00000105669	COPE
ENSMUSG00000019373	Cops3	ENSG00000141030	COPS3
ENSMUSG00000035297	Cops4	ENSG00000138663	COPS4
ENSMUSG00000060992	Copz1		
ENSMUSG00000031818	Cox4i1	ENSG00000131143	COX4I1
ENSMUSG00000000088	Cox5a	ENSG00000178741	COX5A
ENSMUSG00000041697	Cox6a1	ENSG00000111775	COX6A1
ENSMUSG00000032330	Cox7a2	ENSG00000112695	COX7A2
ENSMUSG00000024248	Cox7a2l	ENSG00000115944	COX7A2L
ENSMUSG00000078937	Cpt1b	ENSG00000205560	CPT1B
ENSMUSG00000005683	Cs		
ENSMUSG00000024576	Csnk1a1	ENSG00000113712	CSNK1A1
ENSMUSG00000020186	Csrp2	ENSG00000175183	CSRP2
ENSMUSG00000027447	Cst3	ENSG00000101439	CST3
ENSMUSG00000005054	Cstb	ENSG00000160213	CSTB
ENSMUSG00000037373	Ctbp1	ENSG00000159692	CTBP1
ENSMUSG00000026176	Ctdsp1	ENSG00000144579	CTDSP1
ENSMUSG00000037815	Ctnna1	ENSG00000044115	CTNNA1
ENSMUSG00000006932	Ctnnb1	ENSG00000168036	CTNNB1
ENSMUSG00000034101	Ctnnd1	ENSG00000198561	CTNND1
ENSMUSG00000021939	Ctsb	ENSG00000164733	CTSB
ENSMUSG00000007891	Ctsd	ENSG00000250644	
ENSMUSG00000007891	Ctsd	ENSG00000117984	CTSD
ENSMUSG00000021477	Ctsl		
ENSMUSG00000039952	Dag1	ENSG00000173402	DAG1
ENSMUSG00000026385	Dbi	ENSG00000155368	DBI
ENSMUSG00000031516	Dctn6	ENSG00000104671	DCTN6
ENSMUSG00000042462	Dctpp1	ENSG00000179958	DCTPP1
ENSMUSG00000007039	Ddah2	ENSG00000213722	DDAH2
ENSMUSG00000024740	Ddb1	ENSG00000167986	DDB1
ENSMUSG00000055065	Ddx17	ENSG00000100201	DDX17
ENSMUSG00000019432	Ddx39b	ENSG00000198563	DDX39B
ENSMUSG00000000787	Ddx3x	ENSG00000215301	DDX3X
ENSMUSG00000038633	Degs1	ENSG00000143753	DEGS1
ENSMUSG00000035901	Dennd5a	ENSG00000184014	DENND5A
ENSMUSG00000004789	Dlst	ENSG00000119689	DLST
ENSMUSG00000014195	Dnajc7	ENSG00000168259	DNAJC7
ENSMUSG00000024914	Drap1	ENSG00000175550	DRAP1
ENSMUSG00000015932	Dstn	ENSG00000125868	DSTN
ENSMUSG00000009013	Dynll1		
ENSMUSG00000020483	Dynll2	ENSG00000264364	DYNLL2
ENSMUSG00000047459	Dynlrb1	ENSG00000125971	DYNLRB1
ENSMUSG00000057530	Ece1	ENSG00000117298	ECE1
ENSMUSG00000053898	Ech1		
ENSMUSG00000024132	Eci1	ENSG00000167969	ECI1
ENSMUSG00000037742	Eef1a1		
ENSMUSG00000025967	Eef1b2	ENSG00000114942	EEF1B2
ENSMUSG00000071644	Eef1g	ENSG00000254772	EEF1G
ENSMUSG00000026921	Egfl7	ENSG00000172889	EGFL7
ENSMUSG00000006941	Eif1b	ENSG00000114784	EIF1B
ENSMUSG00000053565	Eif3k		
ENSMUSG00000033047	Eif3l	ENSG00000100129	EIF3L
ENSMUSG00000058655	Eif4b	ENSG00000063046	EIF4B
ENSMUSG00000020091	Eif4ebp2	ENSG00000148730	EIF4EBP2
ENSMUSG00000005610	Eif4g2	ENSG00000110321	EIF4G2
ENSMUSG00000026814	Eng	ENSG00000106991	ENG
ENSMUSG00000063524	Eno1	ENSG00000074800	ENO1
ENSMUSG00000001576	Ergic1	ENSG00000113719	ERGIC1
ENSMUSG00000021131	Erh	ENSG00000100632	ERH
