# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
4921524J17Rik	H3K4me3Heart_9707 (+53637)
Aasdh	H3K4me3Heart_5715 (-23102)
Abhd8	H3K4me3Heart_9537 (+115)
Acta1	H3K4me3Heart_10101 (+628)
Actg1	H3K4me3Heart_13953 (+108203)
Agbl5	H3K4me3Heart_5408 (+17365)
Agtr1a	H3K4me3Heart_14980 (+9196), H3K4me3Heart_14981 (+185232)
Aplp2	H3K4me3Heart_10313 (-41720)
Apobec2	H3K4me3Heart_18523 (+218)
Arid1b	H3K4me3Heart_17888 (+12504), H3K4me3Heart_17889 (+63318)
Arl15	H3K4me3Heart_15649 (+86169)
Asb15	H3K4me3Heart_6649 (+2379)
Atp1a4	H3K4me3Heart_1001 (+14286)
Atp1b1	H3K4me3Heart_900 (+138599)
Atp7a	H3K4me3Heart_20589 (-10104)
Atxn10	H3K4me3Heart_16936 (-38329)
BC048679	H3K4me3Heart_8426 (-67626)
Bahcc1	H3K4me3Heart_13953 (+7392)
Bet1	H3K4me3Heart_6570 (-251355), H3K4me3Heart_6568 (+80278)
C87436	H3K4me3Heart_7078 (+49283), H3K4me3Heart_7080 (+77761)
Calm2	H3K4me3Heart_18813 (-124686)
Camk2a	H3K4me3Heart_19228 (+38284)
Casd1	H3K4me3Heart_6572 (-54753)
Casq1	H3K4me3Heart_1001 (-24260), H3K4me3Heart_1000 (+181)
Cbx3	H3K4me3Heart_6856 (+515)
Ccdc182	H3K4me3Heart_13314 (-41764)
Cct2	H3K4me3Heart_12186 (-82833)
Cdkn1a	H3K4me3Heart_18203 (-55288)
Cdkn1c	H3K4me3Heart_9012 (+1479)
Celf1	H3K4me3Heart_1944 (+24855)
Cfap20	H3K4me3Heart_9815 (+7174), H3K4me3Heart_9814 (+73640)
Cfap43	H3K4me3Heart_20038 (+81603)
Cfap45	H3K4me3Heart_1011 (-16754)
Ckm	H3K4me3Heart_7795 (+175)
Clic4	H3K4me3Heart_4907 (-14347), H3K4me3Heart_4905 (+5536), H3K4me3Heart_4902 (+97495), H3K4me3Heart_4901 (+106185)
Clu	H3K4me3Heart_16145 (+2130)
Cnn1	H3K4me3Heart_10262 (+617)
Cnnm1	H3K4me3Heart_19917 (+80238)
