# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
H3K4me3Heart_30	Cops5 (-1827), Cspp1 (+1736)
H3K4me3Heart_40	Prdm14 (-166363), Ncoa2 (+80557)
H3K4me3Heart_78	4933415F23Rik (-169466), Ogfrl1 (+111456)
H3K4me3Heart_85	Col9a1 (-70000), Fam135a (-7269)
H3K4me3Heart_90	Phf3 (-8817), Ptp4a1 (+77697)
H3K4me3Heart_99	Zfp451 (-89269), Bend6 (+3952)
H3K4me3Heart_101	Dst (-66553), Bend6 (-37456)
H3K4me3Heart_126	Uggt1 (-25169), Neurl3 (+3951)
H3K4me3Heart_146	Mgat4a (-151183), 2010300C02Rik (+32667)
H3K4me3Heart_153	Rev1 (-88834), Aff3 (+321346)
H3K4me3Heart_172	Il1r1 (+85)
H3K4me3Heart_177	Tmem182 (+330)
H3K4me3Heart_178	Tmem182 (+68895)
H3K4me3Heart_182	Pou3f3 (-12620)
H3K4me3Heart_192;H3K4me3Heart_193;H3K4me3Heart_194	Nck2 (-252954), Fhl2 (-28836)
H3K4me3Heart_195	Nck2 (-249239), Fhl2 (-32551)
H3K4me3Heart_207	Col3a1 (+2724), Col5a2 (+189020)
H3K4me3Heart_216	Cavin2 (+3063), Nabp1 (+186210)
H3K4me3Heart_219	Nabp1 (-118970), Myo1b (+318559)
H3K4me3Heart_238	Stk17b (-193216), Hecw2 (+216594)
H3K4me3Heart_254	Plcl1 (+482567), Hsfy2 (+748496)
H3K4me3Heart_261	Tyw5 (-206294), Spats2l (-161466)
H3K4me3Heart_266	Bzw1 (-102970), Aox2 (+11840)
H3K4me3Heart_297	Pard3b (-394561), Icos (+256066)
H3K4me3Heart_311	Creb1 (-229872), Klf7 (-181543)
H3K4me3Heart_314	Ccnyl1 (+1072), Fzd5 (+46223)
H3K4me3Heart_316	Fzd5 (-983)
H3K4me3Heart_318	Cryga (-9749), D630023F18Rik (+10071)
H3K4me3Heart_330	Erbb4 (+21682)
H3K4me3Heart_340	Fn1 (-529982), Mreg (+29154)
H3K4me3Heart_353	Igfbp2 (+2520), Igfbp5 (+47861)
H3K4me3Heart_355	Igfbp5 (-70272), Tnp1 (+70743)
H3K4me3Heart_356	Tnp1 (-943789), Tns1 (+164759)
H3K4me3Heart_357	Tnp1 (-946825), Tns1 (+161723)
H3K4me3Heart_364	Gpbar1 (-38670), Arpc2 (+3363)
H3K4me3Heart_380	Prkag3 (+424)
H3K4me3Heart_396	Ihh (-64600), Nhej1 (+30388)
H3K4me3Heart_410	Speg (-5603), Des (+9365)
H3K4me3Heart_422	Epha4 (+301532)
H3K4me3Heart_423	Epha4 (+18113)
H3K4me3Heart_446	Rhbdd1 (+42671), Col4a4 (+227726)
H3K4me3Heart_452	Sphkap (+62369), Daw1 (+186069)
H3K4me3Heart_480	Ecel1 (+1632), Akp3 (+29525)
H3K4me3Heart_496	Agap1 (-361909), Sh3bp4 (+22487)
H3K4me3Heart_499	Agap1 (+202204), Gbx2 (+276275)
H3K4me3Heart_500	Gbx2 (+182315), Agap1 (+296164)
H3K4me3Heart_501	Gbx2 (+10420), Agap1 (+468059)
H3K4me3Heart_503	Gbx2 (+4234), Agap1 (+474245)
H3K4me3Heart_507	Gbx2 (-59018), Asb18 (+22269)
H3K4me3Heart_511	Col6a3 (+89728), Cops8 (+150623)
H3K4me3Heart_513	Col6a3 (-66044), Mlph (-5267)
H3K4me3Heart_514	Mlph (-100)
H3K4me3Heart_517	Rab17 (-47715), Lrrfip1 (-36068)
H3K4me3Heart_524	Klhl30 (+336)
H3K4me3Heart_531	Twist2 (-30759), Asb1 (+230137)
H3K4me3Heart_533	Hdac4 (-31277), Ndufa10 (+294190)
H3K4me3Heart_564	D1Ertd622e (-98625), Gin1 (-9473)
H3K4me3Heart_565	Gin1 (-2757)
H3K4me3Heart_583	Serpinb8 (+106)
H3K4me3Heart_593	Tfcp2l1 (-145246), Clasp1 (+93641)
H3K4me3Heart_595	Gli2 (+71660), Tfcp2l1 (+354014)
H3K4me3Heart_611	C1ql2 (+17010), Marco (+147492)
H3K4me3Heart_630	Mgat5 (-405659), Nckap5 (-306400)
H3K4me3Heart_641	Dars (-39763), Cxcr4 (+135111)
H3K4me3Heart_654	Rassf5 (+11656), Eif2d (+80421)
H3K4me3Heart_678	Ppp1r15b (-62438), Pik3c2b (+22693)
H3K4me3Heart_702	Ppfia4 (-10170), Tmem183a (+18901)
H3K4me3Heart_715	Syt2 (+94401), Ppp1r12b (+152239)
H3K4me3Heart_716	Ppp1r12b (+46340), Syt2 (+200300)
H3K4me3Heart_726	Lmod1 (+268)
H3K4me3Heart_737	Tnni1 (+347)
H3K4me3Heart_739	Tnnt2 (-3647)
H3K4me3Heart_746	Kif21b (+28140), Mroh3 (+47568)
H3K4me3Heart_762	Nek7 (+10289), Atp6v1g3 (+335669)
H3K4me3Heart_766	Lhx9 (-1426)
H3K4me3Heart_768	Lhx9 (-6232), 2310009B15Rik (+8193)
H3K4me3Heart_770	2310009B15Rik (-55652), Dennd1b (-55215)
H3K4me3Heart_781	Rgs2 (-2549)
H3K4me3Heart_793	Edem3 (-78098), Fam129a (+105903)
H3K4me3Heart_795	1700025G04Rik (+142537), Edem3 (+192409)
H3K4me3Heart_809	Dhx9 (-44866), Npl (+17188)
H3K4me3Heart_813	Rnasel (-7324), Rgs16 (+1753)
H3K4me3Heart_821	Cacna1e (-314760), Ier5 (+58957)
H3K4me3Heart_824	Ier5 (-10400), Mr1 (+36744)
H3K4me3Heart_829	Xpr1 (-109675), Acbd6 (-31145)
H3K4me3Heart_841	Nphs2 (+306)
H3K4me3Heart_850	Fam20b (-60343), Angptl1 (-59218)
H3K4me3Heart_855	Tex35 (-70881), Rasal2 (+233069)
H3K4me3Heart_856	Tex35 (-147986), Rasal2 (+155964)
H3K4me3Heart_858	Rasal2 (-31237), BC026585 (-14748)
H3K4me3Heart_863	Astn1 (+191864), Pappa2 (+403535)
H3K4me3Heart_881	4930558K02Rik (-140981), Dnm3 (+357417)
H3K4me3Heart_883	4930558K02Rik (-241143), Dnm3 (+257255)
H3K4me3Heart_884	4930558K02Rik (-333996), Dnm3 (+164402)
H3K4me3Heart_890	Mroh9 (-223108), Prrx1 (+4932)
H3K4me3Heart_900	Nme7 (+6877), Atp1b1 (+138599)
H3K4me3Heart_902	Atp1b1 (-3427)
H3K4me3Heart_903	Dpt (+281)
H3K4me3Heart_907	Tbx19 (-31066), Sft2d2 (+2594)
H3K4me3Heart_912	Mpzl1 (+16078), Adcy10 (+133280)
H3K4me3Heart_917	Creg1 (-44951), Rcsd1 (-10701)
H3K4me3Heart_989	Alyref2 (-61031), F11r (+4912)
H3K4me3Heart_991	Alyref2 (-1580)
H3K4me3Heart_1000	Casq1 (+181)
H3K4me3Heart_1001	Casq1 (-24260), Atp1a4 (+14286)
H3K4me3Heart_1009	Tagln2 (-9622), Igsf9 (+8210)
H3K4me3Heart_1011	Cfap45 (-16754), Tagln2 (+4243)
H3K4me3Heart_1013	Vsig8 (-29218), Cfap45 (+5676)
H3K4me3Heart_1027	Rbm8a2 (+42635), Exo1 (+55701)
H3K4me3Heart_1032	Akt3 (+57)
H3K4me3Heart_1038	1700016C15Rik (-173627), Zbtb18 (+111526)
H3K4me3Heart_1049	Kif26b (-42126), Efcab2 (+81118)
H3K4me3Heart_1050	Kif26b (+1415), Smyd3 (+987494)
H3K4me3Heart_1091	Ccdc121 (+44455), Cnih3 (+114368)
H3K4me3Heart_1104	Tlr5 (-162031), Susd4 (+27862)
H3K4me3Heart_1110	Hlx (+56779), Dusp10 (+641459)
H3K4me3Heart_1111	Hlx (+13997), Dusp10 (+684241)
H3K4me3Heart_1119	Marc2 (-7696), C130074G19Rik (+29641)
H3K4me3Heart_1122	Mark1 (-194142), Rab3gap2 (-10477)
H3K4me3Heart_1129	Lyplal1 (-470241), Tgfb2 (+118441)
H3K4me3Heart_1133	D1Pas1 (+393)
H3K4me3Heart_1139	Esrrg (-86774), Gpatch2 (+695531)
H3K4me3Heart_1144	Ush2a (-260431), Esrrg (+4776)
H3K4me3Heart_1145	Ush2a (-255361), Esrrg (+9846)
H3K4me3Heart_1146	Ush2a (-207013), Esrrg (+58194)
H3K4me3Heart_1149	Kctd3 (-5573), Kcnk2 (+329675)
H3K4me3Heart_1153	Ptpn14 (+46856), Smyd2 (+147239)
H3K4me3Heart_1155	Smyd2 (-1790)
H3K4me3Heart_1169	Ppp2r5a (+946)
H3K4me3Heart_1193	Cd46 (+75011), Cd34 (+78416)
H3K4me3Heart_11284	Myct1 (+919)
H3K4me3Heart_11288	Myct1 (-524868), Esr1 (+456839)
H3K4me3Heart_11294	Zbtb2 (+41222), Akap12 (+80557)
H3K4me3Heart_11300	Plekhg1 (-22019), Iyd (+178105)
H3K4me3Heart_11301	Iyd (-171697), Ppp1r14c (+2393)
H3K4me3Heart_11312	Zc3h12d (+9614), Tab2 (+114146)
H3K4me3Heart_11315	Tab2 (-174374), Ust (+388221)
H3K4me3Heart_11318	Ust (-364990), Sash1 (+2255)
H3K4me3Heart_11336	Utrn (-50300), Stx11 (+52232)
H3K4me3Heart_11343	Plagl1 (+2371), Zc2hc1b (+84832)
H3K4me3Heart_11350	Pex3 (-11828), Aig1 (+303990)
H3K4me3Heart_11390	Pde7b (+67196), Mtfr2 (+310063)
H3K4me3Heart_11400	Sgk1 (+55220), 4930444G20Rik (+130675)
H3K4me3Heart_11411	Tbpl1 (-82136), Tcf21 (+6545)
H3K4me3Heart_11412	Tbpl1 (-83623), Tcf21 (+5058)
H3K4me3Heart_11413	Tbpl1 (-85189), Tcf21 (+3492)
H3K4me3Heart_11416	Tcf21 (-23969), Eya4 (+505798)
H3K4me3Heart_11419	Eya4 (-337290), Rps12 (+100024)
H3K4me3Heart_11432	Epb41l2 (+72794), Tmem200a (+561777)
H3K4me3Heart_11451;H3K4me3Heart_11452	Ncoa7 (-36004), Hey2 (+3690)
H3K4me3Heart_11459	Trdn (+341)
H3K4me3Heart_11460	Trdn (+1758), Clvs2 (+539528)
H3K4me3Heart_11484	Rev3l (-117348), Traf3ip2 (+1836)
H3K4me3Heart_11493	Gtf3c6 (-1201)
H3K4me3Heart_11496	Slc22a16 (-145080), Cdk19 (+76225)
H3K4me3Heart_11497	Ddo (+446)
H3K4me3Heart_11500	Mettl24 (+54607), Cdc40 (+145254)
H3K4me3Heart_11508	Ccdc162 (-91074), Cep57l1 (+67140)
H3K4me3Heart_11516	Armc2 (-12996), Foxo3 (+245366)
H3K4me3Heart_11554	Bves (+3154), Lin28b (+131285)
H3K4me3Heart_11577	Pln (-383)
H3K4me3Heart_11578;H3K4me3Heart_11579;H3K4me3Heart_11580;H3K4me3Heart_11581	Pln (+2785), Cep85l (+8659)
H3K4me3Heart_11582	Cep85l (+5510), Pln (+5934)
H3K4me3Heart_11585	Cep85l (-154478), Asf1a (-93353)
H3K4me3Heart_11589	Mcm9 (-5216), Fam184a (+115225)
H3K4me3Heart_11596	Tbc1d32 (-152237), Gja1 (-6621)
H3K4me3Heart_11597	Gja1 (-4642)
H3K4me3Heart_11607	Lims1 (-69356), Gcc2 (+69520)
H3K4me3Heart_11609	Lims1 (+152)
H3K4me3Heart_11623	Dnajb12 (+29949), Ddit4 (+42246)
H3K4me3Heart_11628	Ascc1 (-37951), Ddit4 (-13118)
H3K4me3Heart_11639	Pcbd1 (-250502), Unc5b (-7260)
H3K4me3Heart_11640	Unc5b (-237728), Pcbd1 (-20034)
H3K4me3Heart_11656	H2afy2 (-152832), Col13a1 (+42129)
H3K4me3Heart_11661	Hk1 (+3331), Tacr2 (+84773)
H3K4me3Heart_11672	Ccar1 (-51823), Tet1 (+54927)
H3K4me3Heart_11682	Mypn (+119)
H3K4me3Heart_11688	Ctnna3 (+27598), Gm10118 (+469738)
H3K4me3Heart_11689	Gm10118 (+40678), Ctnna3 (+456658)
H3K4me3Heart_11693	Reep3 (+185584)
H3K4me3Heart_11702	Egr2 (-217436), Nrbf2 (-35128)
H3K4me3Heart_11720	Ccdc6 (-479218), Ank3 (+83681)
H3K4me3Heart_11730	Phyhipl (-118409), Bicc1 (+442000)
H3K4me3Heart_11731	Phyhipl (-558190), Bicc1 (+2219)
H3K4me3Heart_11733	Bicc1 (-33235), Tfam (+45345)
H3K4me3Heart_11735	Tfam (-12408), Ube2d1 (+34574)
H3K4me3Heart_11737	Ube2d1 (-21257), Cisd1 (+38435)
H3K4me3Heart_11743	Pcdh15 (+4797)
H3K4me3Heart_11748	Specc1l (-55781), Bcr (+113178)
H3K4me3Heart_11754	Ggt5 (+353)
H3K4me3Heart_11777	Ftcd (+8833), Col6a2 (+39149)
H3K4me3Heart_11782	Slc19a1 (+56992), Col18a1 (+76872)
H3K4me3Heart_11784	Pofut2 (-71396), Col18a1 (-21356)
H3K4me3Heart_11785	Col18a1 (-85208), Pofut2 (-7544)
H3K4me3Heart_11812	Ilvbl (-86780), Pdxk (-22745)
H3K4me3Heart_11834	Misp (-13131), Palm (+14318)
H3K4me3Heart_11843	Wdr18 (-23018), Arid3a (+10091)
H3K4me3Heart_11852	Gpx4 (+21248), Sbno2 (+27413)
H3K4me3Heart_11885	Klf16 (-9936), Abhd17a (+3084)
H3K4me3Heart_11897	Amh (+3761), Jsrp1 (+4486)
H3K4me3Heart_11898	Jsrp1 (+3042), Amh (+5205)
H3K4me3Heart_11917	Zbtb7a (+4705), Pias4 (+26947)
H3K4me3Heart_11923	Nmrk2 (+7172), Dapk3 (+10947)
H3K4me3Heart_11931	Cactin (-3799)
H3K4me3Heart_11933	Tbxa2r (+99)
H3K4me3Heart_11942	Smim24 (+16633), Nfic (+17489)
H3K4me3Heart_11971	Glt8d2 (+23794), Tdg (+36964)
H3K4me3Heart_11975	Txnrd1 (-38663), Nfyb (-31144)
H3K4me3Heart_11985	Nuak1 (+52348), 1500009L16Rik (+665384)
H3K4me3Heart_11990	Rfx4 (-1220)
H3K4me3Heart_11992	Ric8b (-158334), Rfx4 (+3220)
H3K4me3Heart_11998	Cry1 (-146226), Btbd11 (-55534)
H3K4me3Heart_12016	Stab2 (+35758), Nt5dc3 (+193262)
H3K4me3Heart_12033	Scyl2 (-22563), Actr6 (+23447)
H3K4me3Heart_12041	Slc25a3 (+1861), Ikbip (+39141)
H3K4me3Heart_12047	Tmpo (-70133)
H3K4me3Heart_12055	Elk3 (+49514), Cdk17 (+100745)
H3K4me3Heart_12057	Elk3 (+4464), Cdk17 (+145795)
H3K4me3Heart_12068	Usp44 (-124215), Ntn4 (+66291)
H3K4me3Heart_12078	Cep83 (-167769), Tmcc3 (+6164)
