Gene stable ID	Gene name	Human gene stable ID	Human gene name
ENSMUSG00000031972	Acta1	ENSG00000143632	ACTA1
ENSMUSG00000062825	Actg1	ENSG00000184009	ACTG1
ENSMUSG00000031996	Aplp2	ENSG00000084234	APLP2
ENSMUSG00000040694	Apobec2	ENSG00000124701	APOBEC2
ENSMUSG00000016541	Atxn10	ENSG00000130638	ATXN10
ENSMUSG00000036438	Calm2	ENSG00000143933	CALM2
ENSMUSG00000024617	Camk2a	ENSG00000070808	CAMK2A
ENSMUSG00000007122	Casq1	ENSG00000143318	CASQ1
ENSMUSG00000034024	Cct2	ENSG00000166226	CCT2
ENSMUSG00000037664	Cdkn1c	ENSG00000129757	CDKN1C
ENSMUSG00000005506	Celf1	ENSG00000149187	CELF1
ENSMUSG00000030399	Ckm	ENSG00000104879	CKM
ENSMUSG00000037242	Clic4	ENSG00000169504	CLIC4
ENSMUSG00000022037	Clu	ENSG00000120885	CLU
ENSMUSG00000001349	Cnn1	ENSG00000130176	CNN1
ENSMUSG00000029661	Col1a2	ENSG00000164692	COL1A2
ENSMUSG00000031503	Col4a2	ENSG00000134871	COL4A2
ENSMUSG00000026042	Col5a2	ENSG00000204262	COL5A2
ENSMUSG00000051154	Commd3	ENSG00000148444	COMMD3
ENSMUSG00000025917	Cops5	ENSG00000121022	COPS5
ENSMUSG00000060992	Copz1		
ENSMUSG00000030785	Cox6a2	ENSG00000156885	COX6A2
ENSMUSG00000024248	Cox7a2l	ENSG00000115944	COX7A2L
ENSMUSG00000031231	Cox7b	ENSG00000131174	COX7B
ENSMUSG00000037373	Ctbp1	ENSG00000159692	CTBP1
ENSMUSG00000061353	Cxcl12	ENSG00000107562	CXCL12
ENSMUSG00000000346	Dazap2	ENSG00000183283	DAZAP2
ENSMUSG00000021377	Dek	ENSG00000124795	DEK
ENSMUSG00000042699	Dhx9	ENSG00000135829	DHX9
ENSMUSG00000004789	Dlst	ENSG00000119689	DLST
ENSMUSG00000020483	Dynll2	ENSG00000264364	DYNLL2
ENSMUSG00000057530	Ece1	ENSG00000117298	ECE1
ENSMUSG00000024132	Eci1	ENSG00000167969	ECI1
ENSMUSG00000022122	Ednrb	ENSG00000136160	EDNRB
ENSMUSG00000037742	Eef1a1		
ENSMUSG00000027293	Ehd4	ENSG00000103966	EHD4
ENSMUSG00000074656	Eif2s2	ENSG00000125977	EIF2S2
ENSMUSG00000031029	Eif3f	ENSG00000175390	EIF3F
ENSMUSG00000031490	Eif4ebp1	ENSG00000187840	EIF4EBP1
ENSMUSG00000062515	Fabp4	ENSG00000170323	FABP4
ENSMUSG00000026193	Fn1	ENSG00000115414	FN1
ENSMUSG00000038663	Fsd2	ENSG00000186628	FSD2
ENSMUSG00000021102	Glrx5	ENSG00000182512	GLRX5
ENSMUSG00000032766	Gng11	ENSG00000127920	GNG11
ENSMUSG00000025190	Got1	ENSG00000120053	GOT1
ENSMUSG00000075706	Gpx4	ENSG00000167468	GPX4
ENSMUSG00000026879	Gsn	ENSG00000148180	GSN
ENSMUSG00000037012	Hk1	ENSG00000156515	HK1
ENSMUSG00000004980	Hnrnpa2b1	ENSG00000122566	HNRNPA2B1
ENSMUSG00000006221	Hspb7	ENSG00000173641	HSPB7
ENSMUSG00000028763	Hspg2	ENSG00000142798	HSPG2
ENSMUSG00000022108	Itm2b	ENSG00000136156	ITM2B
ENSMUSG00000038695	Josd2	ENSG00000161677	JOSD2
ENSMUSG00000028790	Khdrbs1	ENSG00000121774	KHDRBS1
ENSMUSG00000028609	Magoh	ENSG00000162385	MAGOH
ENSMUSG00000030678	Maz	ENSG00000103495	MAZ
ENSMUSG00000031790	Mmp15	ENSG00000102996	MMP15
ENSMUSG00000034880	Mrpl34	ENSG00000130312	MRPL34
ENSMUSG00000023723	Mrps23	ENSG00000181610	MRPS23
ENSMUSG00000051236	Msrb3	ENSG00000174099	MSRB3
ENSMUSG00000059741	Myl3	ENSG00000160808	MYL3
ENSMUSG00000020469	Myl7	ENSG00000106631	MYL7
ENSMUSG00000031698	Mylk3	ENSG00000140795	MYLK3
ENSMUSG00000023089	Ndufa5	ENSG00000128609	NDUFA5
ENSMUSG00000000399	Ndufa9	ENSG00000139180	NDUFA9
ENSMUSG00000031059	Ndufb11	ENSG00000147123	NDUFB11
ENSMUSG00000033938	Ndufb7	ENSG00000099795	NDUFB7
