Gene stable ID	Gene name	Human gene stable ID	Human gene name
ENSMUSG00000068614	Actc1	ENSG00000159251	ACTC1
ENSMUSG00000052374	Actn2	ENSG00000077522	ACTN2
ENSMUSG00000039197	Adk	ENSG00000156110	ADK
ENSMUSG00000051149	Adnp	ENSG00000101126	ADNP
ENSMUSG00000031448	Adprhl1		
ENSMUSG00000024803	Ankrd1	ENSG00000148677	ANKRD1
ENSMUSG00000015749	Anp32e	ENSG00000143401	ANP32E
ENSMUSG00000018340	Anxa6	ENSG00000197043	ANXA6
ENSMUSG00000022892	App	ENSG00000142192	APP
ENSMUSG00000006304	Arpc2	ENSG00000163466	ARPC2
ENSMUSG00000021200	Asb2	ENSG00000100628	ASB2
ENSMUSG00000033161	Atp1a1	ENSG00000163399	ATP1A1
ENSMUSG00000026576	Atp1b1	ENSG00000143153	ATP1B1
ENSMUSG00000029467	Atp2a2	ENSG00000174437	ATP2A2
ENSMUSG00000116933	Atp5o	ENSG00000159147	DONSON
ENSMUSG00000022956	Atp5o	ENSG00000241837	ATP5PO
ENSMUSG00000022956	Atp5o	ENSG00000249209	
ENSMUSG00000015575	Atp6v0e	ENSG00000113732	ATP6V0E1
ENSMUSG00000031660	Brd7	ENSG00000166164	BRD7
ENSMUSG00000071317	Bves	ENSG00000112276	BVES
ENSMUSG00000051223	Bzw1	ENSG00000082153	BZW1
ENSMUSG00000029761	Cald1	ENSG00000122786	CALD1
ENSMUSG00000021373	Cap2	ENSG00000112186	CAP2
ENSMUSG00000027861	Casq2	ENSG00000118729	CASQ2
ENSMUSG00000062694	Cav3	ENSG00000182533	CAV3
ENSMUSG00000009575	Cbx5		
ENSMUSG00000044033	Ccdc141	ENSG00000163492	CCDC141
ENSMUSG00000027435	Cd93	ENSG00000125810	CD93
ENSMUSG00000001435	Col18a1	ENSG00000182871	COL18A1
ENSMUSG00000001506	Col1a1	ENSG00000108821	COL1A1
ENSMUSG00000026043	Col3a1	ENSG00000168542	COL3A1
ENSMUSG00000025488	Cox8b	ENSG00000187581	COX8C
ENSMUSG00000078937	Cpt1b	ENSG00000205560	CPT1B
ENSMUSG00000024576	Csnk1a1	ENSG00000113712	CSNK1A1
ENSMUSG00000020186	Csrp2	ENSG00000175183	CSRP2
ENSMUSG00000030470	Csrp3	ENSG00000129170	CSRP3
ENSMUSG00000037815	Ctnna1	ENSG00000044115	CTNNA1
ENSMUSG00000006932	Ctnnb1	ENSG00000168036	CTNNB1
ENSMUSG00000034101	Ctnnd1	ENSG00000198561	CTNND1
ENSMUSG00000019929	Dcn	ENSG00000011465	DCN
ENSMUSG00000031516	Dctn6	ENSG00000104671	DCTN6
ENSMUSG00000020182	Ddc	ENSG00000132437	DDC
ENSMUSG00000026208	Des	ENSG00000175084	DES
ENSMUSG00000027012	Dync1i2	ENSG00000077380	DYNC1I2
ENSMUSG00000001576	Ergic1	ENSG00000113719	ERGIC1
ENSMUSG00000008136	Fhl2	ENSG00000115641	FHL2
ENSMUSG00000021944	Gata4	ENSG00000136574	GATA4
ENSMUSG00000005836	Gata6	ENSG00000141448	GATA6
ENSMUSG00000050953	Gja1		
ENSMUSG00000057123	Gja5	ENSG00000265107	GJA5
ENSMUSG00000000253	Gmpr	ENSG00000137198	GMPR
ENSMUSG00000020176	Grb10	ENSG00000106070	GRB10
ENSMUSG00000038193	Hand2	ENSG00000164107	HAND2
ENSMUSG00000019789	Hey2	ENSG00000135547	HEY2
ENSMUSG00000021109	Hif1a	ENSG00000100644	HIF1A
ENSMUSG00000040681	Hmgn1	ENSG00000205581	HMGN1
ENSMUSG00000059325	Hopx	ENSG00000171476	HOPX
ENSMUSG00000024359	Hspa9	ENSG00000113013	HSPA9
ENSMUSG00000020644	Id2	ENSG00000115738	ID2
ENSMUSG00000048583	Igf2	ENSG00000167244	IGF2
ENSMUSG00000023830	Igf2r	ENSG00000197081	IGF2R
ENSMUSG00000026185	Igfbp5	ENSG00000115461	IGFBP5
ENSMUSG00000000555	Itga5		
ENSMUSG00000017817	Jph2	ENSG00000149596	JPH2
ENSMUSG00000021798	Ldb3	ENSG00000122367	LDB3
ENSMUSG00000019920	Lims1	ENSG00000256977	LIMS3
ENSMUSG00000019920	Lims1	ENSG00000256671	LIMS4
ENSMUSG00000024590	Lmnb1	ENSG00000113368	LMNB1
ENSMUSG00000033060	Lmo7	ENSG00000136153	LMO7
ENSMUSG00000029683	Lmod2	ENSG00000170807	LMOD2
ENSMUSG00000015568	Lpl		
ENSMUSG00000060187	Lrrc10	ENSG00000198812	LRRC10
ENSMUSG00000026305	Lrrfip1	ENSG00000124831	LRRFIP1
ENSMUSG00000018893	Mb	ENSG00000198125	MB
ENSMUSG00000020321	Mdh1	ENSG00000014641	MDH1
ENSMUSG00000031004	Mki67	ENSG00000148773	MKI67
ENSMUSG00000032355	Mlip	ENSG00000146147	MLIP
ENSMUSG00000026766	Mmadhc	ENSG00000168288	MMADHC
ENSMUSG00000003948	Mmd	ENSG00000108960	MMD
ENSMUSG00000106918	Mrpl33	ENSG00000243147	MRPL33
ENSMUSG00000069769	Msi2	ENSG00000153944	MSI2
ENSMUSG00000045636	Mtus1	ENSG00000129422	MTUS1
ENSMUSG00000027099	Mtx2	ENSG00000128654	MTX2
ENSMUSG00000068566	Myadm	ENSG00000179820	MYADM
ENSMUSG00000002100	Mybpc3	ENSG00000134571	MYBPC3
ENSMUSG00000040752	Myh6	ENSG00000197616	MYH6
ENSMUSG00000053093	Myh7	ENSG00000092054	MYH7
ENSMUSG00000024048	Myl12a	ENSG00000101608	MYL12A
ENSMUSG00000034868	Myl12b	ENSG00000118680	MYL12B
ENSMUSG00000013936	Myl2	ENSG00000111245	MYL2
ENSMUSG00000061086	Myl4	ENSG00000198336	MYL4
ENSMUSG00000067818	Myl9	ENSG00000101335	MYL9
ENSMUSG00000024049	Myom1	ENSG00000101605	MYOM1
ENSMUSG00000028116	Myoz2	ENSG00000172399	MYOZ2
ENSMUSG00000059278	Naa38	ENSG00000183011	NAA38
ENSMUSG00000026260	Ndufa10	ENSG00000130414	NDUFA10
ENSMUSG00000053702	Nebl	ENSG00000078114	NEBL
ENSMUSG00000015579	Nkx2-5	ENSG00000183072	NKX2-5
ENSMUSG00000029019	Nppb	ENSG00000120937	NPPB
ENSMUSG00000020745	Pafah1b1	ENSG00000007168	PAFAH1B1
ENSMUSG00000058056	Palld	ENSG00000129116	PALLD
ENSMUSG00000030770	Parva	ENSG00000197702	PARVA
ENSMUSG00000006494	Pdk1	ENSG00000152256	PDK1
ENSMUSG00000031636	Pdlim3	ENSG00000154553	PDLIM3
ENSMUSG00000015745	Plekho1	ENSG00000023902	PLEKHO1
ENSMUSG00000038583	Pln	ENSG00000198523	PLN
ENSMUSG00000029649	Pomp	ENSG00000132963	POMP
ENSMUSG00000027750	Postn	ENSG00000133110	POSTN
ENSMUSG00000040653	Ppp1r14c	ENSG00000198729	PPP1R14C
ENSMUSG00000067279	Ppp1r3c	ENSG00000119938	PPP1R3C
ENSMUSG00000043154	Ppp2r3a	ENSG00000073711	PPP2R3A
ENSMUSG00000020612	Prkar1a	ENSG00000108946	PRKAR1A
ENSMUSG00000039067	Psmd7	ENSG00000103035	PSMD7
ENSMUSG00000038502	Ptov1	ENSG00000104960	PTOV1
ENSMUSG00000028788	Ptp4a2	ENSG00000184007	PTP4A2
ENSMUSG00000032648	Pygm	ENSG00000068976	PYGM
ENSMUSG00000062078	Qk	ENSG00000112531	QKI
ENSMUSG00000026878	Rab14	ENSG00000119396	RAB14
ENSMUSG00000028426	Rad23b	ENSG00000119318	RAD23B
ENSMUSG00000038132	Rbm24	ENSG00000112183	RBM24
ENSMUSG00000031586	Rbpms	ENSG00000157110	RBPMS
ENSMUSG00000025794	Rpl14		
ENSMUSG00000025290	Rps24	ENSG00000138326	RPS24
ENSMUSG00000021313	Ryr2	ENSG00000198626	RYR2
ENSMUSG00000052833	Sae1	ENSG00000142230	SAE1
ENSMUSG00000035325	Sec31a	ENSG00000138674	SEC31A
ENSMUSG00000031548	Sfrp1	ENSG00000104332	SFRP1
ENSMUSG00000054640	Slc8a1	ENSG00000183023	SLC8A1
ENSMUSG00000055027	Smyd1	ENSG00000115593	SMYD1
ENSMUSG00000026603	Smyd2	ENSG00000143499	SMYD2
ENSMUSG00000031626	Sorbs2	ENSG00000154556	SORBS2
ENSMUSG00000076431	Sox4	ENSG00000124766	SOX4
ENSMUSG00000020315	Sptbn1	ENSG00000115306	SPTBN1
ENSMUSG00000022519	Srl	ENSG00000185739	SRL
ENSMUSG00000024097	Srsf7	ENSG00000115875	SRSF7
ENSMUSG00000027828	Ssr3	ENSG00000114850	SSR3
ENSMUSG00000027030	Stk39	ENSG00000198648	STK39
ENSMUSG00000032437	Stt3b	ENSG00000163527	STT3B
ENSMUSG00000006800	Sulf2	ENSG00000196562	SULF2
ENSMUSG00000024236	Svil	ENSG00000197321	SVIL
ENSMUSG00000039376	Synpo2l	ENSG00000166317	SYNPO2L
ENSMUSG00000015755	Tab2	ENSG00000055208	TAB2
ENSMUSG00000031965	Tbx20	ENSG00000164532	TBX20
ENSMUSG00000007877	Tcap	ENSG00000173991	TCAP
ENSMUSG00000055320	Tead1	ENSG00000187079	TEAD1
ENSMUSG00000019961	Tmpo		
ENSMUSG00000049775	Tmsb4x	ENSG00000154620	TMSB4Y
ENSMUSG00000055322	Tns1	ENSG00000079308	TNS1
