Gene stable ID	Gene name	Human gene stable ID	Human gene name
ENSMUSG00000036275	9530068E07Rik	ENSG00000113583	C5orf15
ENSMUSG00000026003	Acadl	ENSG00000115361	ACADL
ENSMUSG00000062908	Acadm	ENSG00000117054	ACADM
ENSMUSG00000032047	Acat1	ENSG00000075239	ACAT1
ENSMUSG00000006717	Acot13	ENSG00000112304	ACOT13
ENSMUSG00000035783	Acta2	ENSG00000107796	ACTA2
ENSMUSG00000015143	Actn1	ENSG00000072110	ACTN1
ENSMUSG00000026341	Actr3	ENSG00000115091	ACTR3
ENSMUSG00000069833	Ahnak	ENSG00000124942	AHNAK
ENSMUSG00000035048	Anapc13	ENSG00000129055	ANAPC13
ENSMUSG00000032249	Anp32a	ENSG00000139223	ANP32D
ENSMUSG00000032249	Anp32a	ENSG00000140350	ANP32A
ENSMUSG00000027712	Anxa5	ENSG00000164111	ANXA5
ENSMUSG00000040459	Arglu1	ENSG00000134884	ARGLU1
ENSMUSG00000025393	Atp5b	ENSG00000110955	ATP5F1B
ENSMUSG00000018770	Atp5g3	ENSG00000154518	ATP5MC3
ENSMUSG00000031229	Atrx	ENSG00000085224	ATRX
ENSMUSG00000037458	Azin1	ENSG00000155096	AZIN1
ENSMUSG00000019132	BC005537	ENSG00000112308	C6orf62
ENSMUSG00000002980	Bcam	ENSG00000187244	BCAM
ENSMUSG00000050071	Bex1	ENSG00000133169	BEX1
ENSMUSG00000050071	Bex1	ENSG00000133134	BEX2
ENSMUSG00000033940	Brk1	ENSG00000254999	BRK1
ENSMUSG00000020547	Bzw2	ENSG00000136261	BZW2
ENSMUSG00000014226	Cacybp	ENSG00000116161	CACYBP
ENSMUSG00000001175	Calm1	ENSG00000198668	CALM1
ENSMUSG00000029767	Calu	ENSG00000128595	CALU
ENSMUSG00000020368	Canx	ENSG00000127022	CANX
ENSMUSG00000015733	Capza2	ENSG00000198898	CAPZA2
ENSMUSG00000020326	Ccng1	ENSG00000113328	CCNG1
ENSMUSG00000063015	Ccni	ENSG00000118816	CCNI
ENSMUSG00000019818	Cd164	ENSG00000135535	CD164
ENSMUSG00000037706	Cd81	ENSG00000110651	CD81
ENSMUSG00000006699	Cdc42	ENSG00000070831	CDC42
ENSMUSG00000031673	Cdh11	ENSG00000140937	CDH11
ENSMUSG00000024304	Cdh2	ENSG00000170558	CDH2
ENSMUSG00000031871	Cdh5	ENSG00000179776	CDH5
ENSMUSG00000021537	Cetn3	ENSG00000153140	CETN3
ENSMUSG00000031954	Cfdp1	ENSG00000153774	CFDP1
ENSMUSG00000062929	Cfl2	ENSG00000165410	CFL2
ENSMUSG00000032232	Cgnl1	ENSG00000128849	CGNL1
ENSMUSG00000053768	Chchd3	ENSG00000106554	CHCHD3
ENSMUSG00000051159	Cited1	ENSG00000125931	CITED1
ENSMUSG00000046841	Ckap4	ENSG00000136026	CKAP4
ENSMUSG00000064302	Clasp1	ENSG00000074054	CLASP1
ENSMUSG00000020362	Cnot6	ENSG00000113300	CNOT6
ENSMUSG00000031502	Col4a1	ENSG00000187498	COL4A1
ENSMUSG00000032458	Copb2	ENSG00000184432	COPB2
ENSMUSG00000014313	Cox6c	ENSG00000164919	COX6C
ENSMUSG00000037852	Cpe	ENSG00000109472	CPE
ENSMUSG00000027447	Cst3	ENSG00000101439	CST3
ENSMUSG00000021477	Ctsl		
ENSMUSG00000004364	Cul3	ENSG00000036257	CUL3
ENSMUSG00000018042	Cyb5r3	ENSG00000100243	CYB5R3
ENSMUSG00000022174	Dad1	ENSG00000129562	DAD1
ENSMUSG00000055065	Ddx17	ENSG00000100201	DDX17
ENSMUSG00000038633	Degs1	ENSG00000143753	DEGS1
ENSMUSG00000029169	Dhx15	ENSG00000109606	DHX15
ENSMUSG00000020664	Dld	ENSG00000091140	DLD
ENSMUSG00000024501	Dpysl3	ENSG00000113657	DPYSL3
ENSMUSG00000054889	Dsp	ENSG00000096696	DSP
ENSMUSG00000015932	Dstn	ENSG00000125868	DSTN
ENSMUSG00000047459	Dynlrb1	ENSG00000125971	DYNLRB1
ENSMUSG00000006941	Eif1b	ENSG00000114784	EIF1B
ENSMUSG00000056076	Eif3b	ENSG00000106263	EIF3B
ENSMUSG00000005610	Eif4g2	ENSG00000110321	EIF4G2
ENSMUSG00000063524	Eno1	ENSG00000074800	ENO1
ENSMUSG00000038014	Fam120a	ENSG00000048828	FAM120A
ENSMUSG00000003955	Fam162a	ENSG00000114023	FAM162A
ENSMUSG00000028959	Fastk	ENSG00000164896	FASTK
ENSMUSG00000037712	Fermt2	ENSG00000073712	FERMT2
ENSMUSG00000032966	Fkbp1a	ENSG00000088832	FKBP1A
ENSMUSG00000032966	Fkbp1a	ENSG00000198225	FKBP1C
ENSMUSG00000030357	Fkbp4	ENSG00000004478	FKBP4
ENSMUSG00000029781	Fkbp9	ENSG00000122642	FKBP9
ENSMUSG00000029581	Fscn1	ENSG00000075618	FSCN1
ENSMUSG00000022816	Fstl1	ENSG00000163430	FSTL1
ENSMUSG00000031451	Gas6	ENSG00000183087	GAS6
ENSMUSG00000021218	Gdi2	ENSG00000057608	GDI2
ENSMUSG00000027523	Gnas	ENSG00000087460	GNAS
ENSMUSG00000031672	Got2	ENSG00000125166	GOT2
ENSMUSG00000018339	Gpx3	ENSG00000211445	GPX3
ENSMUSG00000060261	Gtf2i	ENSG00000263001	GTF2I
ENSMUSG00000019528	Gyg	ENSG00000163754	GYG1
ENSMUSG00000059447	Hadhb	ENSG00000138029	HADHB
ENSMUSG00000007850	Hnrnph1	ENSG00000169045	HNRNPH1
ENSMUSG00000039630	Hnrnpu	ENSG00000153187	HNRNPU
ENSMUSG00000025630	Hprt	ENSG00000165704	HPRT1
ENSMUSG00000031839	Hsbp1	ENSG00000230989	HSBP1
ENSMUSG00000020361	Hspa4	ENSG00000170606	HSPA4
ENSMUSG00000026864	Hspa5	ENSG00000044574	HSPA5
ENSMUSG00000015656	Hspa8	ENSG00000109971	HSPA8
ENSMUSG00000004951	Hspb1	ENSG00000106211	HSPB1
ENSMUSG00000027245	Hypk	ENSG00000242028	HYPK
ENSMUSG00000032279	Idh3a	ENSG00000166411	IDH3A
ENSMUSG00000030662	Ipo5	ENSG00000065150	IPO5
ENSMUSG00000025809	Itgb1	ENSG00000150093	ITGB1
ENSMUSG00000026223	Itm2c	ENSG00000135916	ITM2C
ENSMUSG00000023150	Ivns1abp	ENSG00000116679	IVNS1ABP
ENSMUSG00000006740	Kif5b	ENSG00000170759	KIF5B
ENSMUSG00000001440	Kpnb1	ENSG00000108424	KPNB1
ENSMUSG00000019846	Lama4	ENSG00000112769	LAMA4
ENSMUSG00000002900	Lamb1	ENSG00000091136	LAMB1
ENSMUSG00000026478	Lamc1	ENSG00000135862	LAMC1
ENSMUSG00000031447	Lamp1	ENSG00000185896	LAMP1
ENSMUSG00000020585	Laptm4a	ENSG00000068697	LAPTM4A
ENSMUSG00000024063	Lbh	ENSG00000213626	LBH
ENSMUSG00000030246	Ldhb	ENSG00000285854	
ENSMUSG00000030246	Ldhb	ENSG00000111716	LDHB
ENSMUSG00000034205	Loxl2	ENSG00000134013	LOXL2
ENSMUSG00000034192	Lsm3	ENSG00000170860	LSM3
ENSMUSG00000015889	Lta4h	ENSG00000111144	LTA4H
ENSMUSG00000025151	Maged1	ENSG00000179222	MAGED1
ENSMUSG00000027602	Map1lc3a	ENSG00000101460	MAP1LC3A
ENSMUSG00000032479	Map4	ENSG00000047849	MAP4
ENSMUSG00000030291	Med21	ENSG00000152944	MED21
ENSMUSG00000030557	Mef2a	ENSG00000068305	MEF2A
ENSMUSG00000029020	Mfn2	ENSG00000116688	MFN2
ENSMUSG00000030218	Mgp	ENSG00000111341	MGP
ENSMUSG00000026688	Mgst3	ENSG00000143198	MGST3
ENSMUSG00000038244	Mical2	ENSG00000133816	MICAL2
ENSMUSG00000048416	Mlf1	ENSG00000178053	MLF1
ENSMUSG00000026087	Mrpl30	ENSG00000241962	
ENSMUSG00000026087	Mrpl30	ENSG00000185414	MRPL30
ENSMUSG00000031207	Msn	ENSG00000147065	MSN
ENSMUSG00000029840	Mtpn	ENSG00000105887	MTPN
ENSMUSG00000020900	Myh10	ENSG00000133026	MYH10
ENSMUSG00000061816	Myl1		
ENSMUSG00000027002	Nckap1	ENSG00000061676	NCKAP1
ENSMUSG00000036564	Ndrg4	ENSG00000103034	NDRG4
ENSMUSG00000036199	Ndufa13	ENSG00000186010	NDUFA13
ENSMUSG00000026895	Ndufa8	ENSG00000119421	NDUFA8
ENSMUSG00000002416	Ndufb2	ENSG00000090266	NDUFB2
ENSMUSG00000022820	Ndufb4	ENSG00000065518	NDUFB4
ENSMUSG00000022354	Ndufb9	ENSG00000147684	NDUFB9
ENSMUSG00000039103	Nexn	ENSG00000162614	NEXN
ENSMUSG00000008575	Nfib	ENSG00000147862	NFIB
ENSMUSG00000021910	Nisch	ENSG00000010322	NISCH
ENSMUSG00000025810	Nrp1	ENSG00000099250	NRP1
ENSMUSG00000040331	Nsmce4a	ENSG00000107672	NSMCE4A
ENSMUSG00000022186	Oxct1	ENSG00000083720	OXCT1
ENSMUSG00000026335	Pam	ENSG00000145730	PAM
ENSMUSG00000028964	Park7	ENSG00000116288	PARK7
ENSMUSG00000021748	Pdhb	ENSG00000168291	PDHB
ENSMUSG00000028273	Pdlim5	ENSG00000163110	PDLIM5
ENSMUSG00000002265	Peg3	ENSG00000198300	PEG3
ENSMUSG00000019851	Perp	ENSG00000112378	PERP
ENSMUSG00000020277	Pfkl	ENSG00000141959	PFKL
ENSMUSG00000021196	Pfkp	ENSG00000067057	PFKP
ENSMUSG00000020475	Pgam2	ENSG00000164708	PGAM2
ENSMUSG00000029171	Pgm2	ENSG00000169299	PGM2
ENSMUSG00000062866	Phactr2	ENSG00000112419	PHACTR2
