# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110002E22Rik	H3K4me3Heart_3805 (-63838)
1110038F14Rik	H3K4me3Heart_16758 (+50620), H3K4me3Heart_16759 (+65103), H3K4me3Heart_16760 (+73205)
1500009L16Rik	H3K4me3Heart_11985 (+665384)
1600014C10Rik	H3K4me3Heart_8069 (-15721)
1700001O22Rik	H3K4me3Heart_1482 (+75812), H3K4me3Heart_1475 (+149096), H3K4me3Heart_1473 (+196312), H3K4me3Heart_1472 (+201145)
1700008O03Rik	H3K4me3Heart_8102 (+17978)
1700012A03Rik	H3K4me3Heart_6713 (+443262)
1700016C15Rik	H3K4me3Heart_1038 (-173627)
1700016D06Rik	H3K4me3Heart_9097 (-21620)
1700018B08Rik	H3K4me3Heart_10044 (+413484)
1700021F07Rik	H3K4me3Heart_2772 (-215266), H3K4me3Heart_2773 (-182251)
1700022I11Rik	H3K4me3Heart_4109 (-16533)
1700024P04Rik	H3K4me3Heart_15536 (-168094)
1700025C18Rik	H3K4me3Heart_2662 (-124826)
1700025G04Rik	H3K4me3Heart_795 (+142537)
1700042G07Rik	H3K4me3Heart_4531 (+3375), H3K4me3Heart_4532 (+9470)
1700061G19Rik	H3K4me3Heart_18601 (+8316)
1700067P10Rik	H3K4me3Heart_18515 (-115442), H3K4me3Heart_18520 (+7872)
1700086D15Rik	H3K4me3Heart_12916 (+34814)
1810013L24Rik	H3K4me3Heart_17284 (+186302), H3K4me3Heart_17285 (+224708)
1810062G17Rik	H3K4me3Heart_2991 (+5939)
2010300C02Rik	H3K4me3Heart_146 (+32667)
2310009B15Rik	H3K4me3Heart_770 (-55652), H3K4me3Heart_768 (+8193)
2410131K14Rik	H3K4me3Heart_6076 (+49073)
2410137M14Rik	H3K4me3Heart_18403 (-183)
2610001J05Rik	H3K4me3Heart_6615 (-882158)
3100002H09Rik	H3K4me3Heart_4660 (-35744), H3K4me3Heart_4658 (+176086)
3110018I06Rik	H3K4me3Heart_14639 (-477126), H3K4me3Heart_14640 (+157188), H3K4me3Heart_14641 (+442094), H3K4me3Heart_14642 (+489471)
3425401B19Rik	H3K4me3Heart_15837 (+35089)
4921504E06Rik	H3K4me3Heart_1311 (+105566)
4921517D22Rik	H3K4me3Heart_15271 (+5616)
